제목,작가,평점,이미지파일,링크
오! 나의 교주님,"김꿀빨, 김완두",8.85,1_오! 나의 교주님.jpg,https://comic.naver.com/webtoon/list?titleId=841624&tab=fri
광마회귀,JP / 이히 / 유진성,9.97,2_광마회귀.jpg,https://comic.naver.com/webtoon/list?titleId=776601&tab=fri
역대급 영지 설계사,이현민 / 김현수 / 문백경,9.98,3_역대급 영지 설계사.jpg,https://comic.naver.com/webtoon/list?titleId=777767&tab=fri
나 혼자 만렙 뉴비,WAN.Z / 스윙뱃 / 메슬로우,9.94,4_나 혼자 만렙 뉴비.jpg,https://comic.naver.com/webtoon/list?titleId=773797&tab=fri
외모지상주의,박태준,9.43,5_외모지상주의.jpg,https://comic.naver.com/webtoon/list?titleId=641253&tab=fri
마음의소리(였던 것),조석,9.95,6_마음의소리(였던 것).jpg,https://comic.naver.com/webtoon/list?titleId=821793&tab=fri
재혼 황후,히어리 / 숨풀 / 알파타르트,9.96,7_재혼 황후.jpg,https://comic.naver.com/webtoon/list?titleId=735661&tab=fri
상남자,하늘소 / 도가도 / 김태궁,9.97,8_상남자.jpg,https://comic.naver.com/webtoon/list?titleId=751168&tab=fri
네가 사는 그 집,석우 / 해바다,9.88,9_네가 사는 그 집.jpg,https://comic.naver.com/webtoon/list?titleId=842465&tab=fri
네가 사는 그 집,석우 / 해바다,9.88,9_네가 사는 그 집.jpg,https://comic.naver.com/webtoon/list?titleId=842465&tab=fri
