제목,작가,평점,이미지파일,링크
만남어플 중독,루즌아,9.84,1_만남어플 중독.jpg,https://comic.naver.com/webtoon/list?titleId=839004&tab=mon
참교육,채용택 / 한가람,9.89,2_참교육.jpg,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon
환생천마,JP / 부겸 / 장영훈,9.95,3_환생천마.jpg,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon
왕과의 야행,보리,9.98,4_왕과의 야행.jpg,https://comic.naver.com/webtoon/list?titleId=817859&tab=mon
마음의소리(였던 것),조석,9.95,5_마음의소리(였던 것).jpg,https://comic.naver.com/webtoon/list?titleId=821793&tab=mon
절대검감,김두루미 / 티아이 / 한중월야,9.95,6_절대검감.jpg,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon
백수세끼,치즈,9.86,7_백수세끼.jpg,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon
시한부 천재가 살아남는 법,JP / 윤승기 / 청시소,9.90,8_시한부 천재가 살아남는 법.jpg,https://comic.naver.com/webtoon/list?titleId=832703&tab=mon
똑 닮은 딸,이담,9.98,9_똑 닮은 딸.jpg,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon
똑 닮은 딸,이담,9.98,9_똑 닮은 딸.jpg,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon
