제목,작가,평점,이미지파일,링크
개꿈,신송림,9.76,1_개꿈.jpg,https://comic.naver.com/webtoon/list?titleId=818791&tab=sat
호랑이형님,이상규,9.88,2_호랑이형님.jpg,https://comic.naver.com/webtoon/list?titleId=650305&tab=sat
시든 꽃에 눈물을,개,9.96,3_시든 꽃에 눈물을.jpg,https://comic.naver.com/webtoon/list?titleId=827190&tab=sat
마도전생기,포스스튜디오 / codezero,9.92,4_마도전생기.jpg,https://comic.naver.com/webtoon/list?titleId=807777&tab=sat
절대군림,박시대 / 장영훈,9.95,5_절대군림.jpg,https://comic.naver.com/webtoon/list?titleId=832677&tab=sat
초인의 시대,섭이,9.90,6_초인의 시대.jpg,https://comic.naver.com/webtoon/list?titleId=730694&tab=sat
쌉초의 난,쌉초,9.98,7_쌉초의 난.jpg,https://comic.naver.com/webtoon/list?titleId=823195&tab=sat
중대장은 실망했다,이량,9.91,8_중대장은 실망했다.jpg,https://comic.naver.com/webtoon/list?titleId=841639&tab=sat
오늘만 사는 기사,"이현민, 가나라 / 이안 / 소울풍",9.98,9_오늘만 사는 기사.jpg,https://comic.naver.com/webtoon/list?titleId=824543&tab=sat
오늘만 사는 기사,"이현민, 가나라 / 이안 / 소울풍",9.98,9_오늘만 사는 기사.jpg,https://comic.naver.com/webtoon/list?titleId=824543&tab=sat
