제목,작가,평점,이미지파일,링크
만남어플 중독,루즌아,9.84,1_만남어플 중독.jpg,https://comic.naver.com/webtoon/list?titleId=839004&tab=thu
나노마신,현절무 / 금강불괴 / 한중월야,9.82,2_나노마신.jpg,https://comic.naver.com/webtoon/list?titleId=747271&tab=thu
육아일기,자까,9.96,3_육아일기.jpg,https://comic.naver.com/webtoon/list?titleId=812354&tab=thu
마흔 즈음에,서쿤스,9.91,4_마흔 즈음에.jpg,https://comic.naver.com/webtoon/list?titleId=836052&tab=thu
재벌집 막내아들,JP / 김병관 / 산경(山景),9.97,5_재벌집 막내아들.jpg,https://comic.naver.com/webtoon/list?titleId=800770&tab=thu
별 거 아니겠지,쥐망,9.92,6_별 거 아니겠지.jpg,https://comic.naver.com/webtoon/list?titleId=839544&tab=thu
천마육성,광휘 / 조형근,9.91,7_천마육성.jpg,https://comic.naver.com/webtoon/list?titleId=776255&tab=thu
마음의소리(였던 것),조석,9.95,8_마음의소리(였던 것).jpg,https://comic.naver.com/webtoon/list?titleId=821793&tab=thu
무사만리행,운 / 배민기,9.92,9_무사만리행.jpg,https://comic.naver.com/webtoon/list?titleId=746857&tab=thu
무사만리행,운 / 배민기,9.92,9_무사만리행.jpg,https://comic.naver.com/webtoon/list?titleId=746857&tab=thu
