제목,작가,평점,이미지파일,링크
괴력 난신,매드버드 / 김태형 / 한중월야,9.95,1_괴력 난신.jpg,https://comic.naver.com/webtoon/list?titleId=821597&tab=tue
오! 나의 교주님,"김꿀빨, 김완두",8.85,2_오! 나의 교주님.jpg,https://comic.naver.com/webtoon/list?titleId=841624&tab=tue
절대회귀,JP / 박진환 / 장영훈,9.96,3_절대회귀.jpg,https://comic.naver.com/webtoon/list?titleId=828715&tab=tue
김부장,"박만사, 남자의 이야기 / 정종택",9.64,4_김부장.jpg,https://comic.naver.com/webtoon/list?titleId=783053&tab=tue
마음의소리(였던 것),조석,9.95,5_마음의소리(였던 것).jpg,https://comic.naver.com/webtoon/list?titleId=821793&tab=tue
신입사원 김철수,스튜디오MW / 오정,9.69,6_신입사원 김철수.jpg,https://comic.naver.com/webtoon/list?titleId=812594&tab=tue
우렉 마지노,SIU,8.92,7_우렉 마지노.jpg,https://comic.naver.com/webtoon/list?titleId=838432&tab=tue
44교시 생존수업,상C,9.91,8_44교시 생존수업.jpg,https://comic.naver.com/webtoon/list?titleId=836848&tab=tue
회귀한 용병은 다 계획이 있다,골드행 / 박진석,9.94,9_회귀한 용병은 다 계획이 있다.jpg,https://comic.naver.com/webtoon/list?titleId=832557&tab=tue
회귀한 용병은 다 계획이 있다,골드행 / 박진석,9.94,9_회귀한 용병은 다 계획이 있다.jpg,https://comic.naver.com/webtoon/list?titleId=832557&tab=tue
