제목,작가,평점,이미지파일,링크
전지적 독자 시점,UMI / 슬리피-C / 싱숑,9.95,1_전지적 독자 시점.jpg,https://comic.naver.com/webtoon/list?titleId=747269&tab=wed
종말이 찾아왔다,전선욱,9.82,2_종말이 찾아왔다.jpg,https://comic.naver.com/webtoon/list?titleId=838002&tab=wed
"울어 봐, 빌어도 좋고",반지 / 솔체,9.94,"3_울어 봐, 빌어도 좋고.jpg",https://comic.naver.com/webtoon/list?titleId=814826&tab=wed
마음의소리(였던 것),조석,9.95,4_마음의소리(였던 것).jpg,https://comic.naver.com/webtoon/list?titleId=821793&tab=wed
무직백수 계백순,지발,9.86,5_무직백수 계백순.jpg,https://comic.naver.com/webtoon/list?titleId=811721&tab=wed
운명을 보는 회사원,영완(映完) / 임성욱,9.95,6_운명을 보는 회사원.jpg,https://comic.naver.com/webtoon/list?titleId=797443&tab=wed
썰:관계주의,이삼 / 장버들,9.93,7_썰:관계주의.jpg,https://comic.naver.com/webtoon/list?titleId=834033&tab=wed
쌉초의 난,쌉초,9.98,8_쌉초의 난.jpg,https://comic.naver.com/webtoon/list?titleId=823195&tab=wed
일렉시드,손제호 / 제나,9.84,9_일렉시드.jpg,https://comic.naver.com/webtoon/list?titleId=717481&tab=wed
일렉시드,손제호 / 제나,9.84,9_일렉시드.jpg,https://comic.naver.com/webtoon/list?titleId=717481&tab=wed
