요일,제목,작가,평점,이미지,링크
월,만남어플 중독,루즌아,9.84,https://image-comic.pstatic.net/webtoon/818528/thumbnail/titledescimage/objectImage_52163270-ea97-47d6-bf87-35db4dc7965f.png,https://comic.naver.com/webtoon/list?titleId=839004&tab=mon
월,참교육,채용택 / 한가람,9.89,https://image-comic.pstatic.net/webtoon/818528/thumbnail/titledescimage/frontImage_e7905803-fe78-461a-a836-6b812d4754a3.png,https://comic.naver.com/webtoon/list?titleId=758037&tab=mon
월,환생천마,JP / 부겸 / 장영훈,9.95,https://image-comic.pstatic.net/webtoon/817365/thumbnail/titledescimage/objectImage_07b5a22c-e3e7-452c-b689-915640dbacd4.png,https://comic.naver.com/webtoon/list?titleId=822657&tab=mon
월,왕과의 야행,보리,9.98,https://image-comic.pstatic.net/webtoon/817365/thumbnail/titledescimage/backImage_75fc629c-c38a-49fb-b127-8c044309f102.png,https://comic.naver.com/webtoon/list?titleId=817859&tab=mon
월,마음의소리(였던 것),조석,9.95,https://image-comic.pstatic.net/webtoon/817365/thumbnail/titledescimage/frontImage_02a8a7d6-857e-4ec8-bb13-99183ad8094a.png,https://comic.naver.com/webtoon/list?titleId=821793&tab=mon
월,절대검감,김두루미 / 티아이 / 한중월야,9.95,https://image-comic.pstatic.net/webtoon/839004/thumbnail/thumbnail_IMAG21_258e9101-6b52-49a2-bcaa-6f90f540624f.jpg,https://comic.naver.com/webtoon/list?titleId=796075&tab=mon
월,백수세끼,치즈,9.86,https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_bbe528c8-7b30-4ea9-b06f-22122ce7d180.jpg,https://comic.naver.com/webtoon/list?titleId=733074&tab=mon
월,시한부 천재가 살아남는 법,JP / 윤승기 / 청시소,9.90,https://image-comic.pstatic.net/webtoon/822657/thumbnail/thumbnail_IMAG21_99e49512-e05d-48c3-846d-d898f78523df.jpg,https://comic.naver.com/webtoon/list?titleId=832703&tab=mon
월,똑 닮은 딸,이담,9.98,https://image-comic.pstatic.net/webtoon/817859/thumbnail/thumbnail_IMAG21_7479316a-1fca-40d6-9d8e-455f8b2fb0db.jpg,https://comic.naver.com/webtoon/list?titleId=774866&tab=mon
월,소녀의 세계,모랑지,9.92,https://image-comic.pstatic.net/webtoon/821793/thumbnail/thumbnail_IMAG21_c5c798a7-dadf-487b-9bea-485928755332.jpg,https://comic.naver.com/webtoon/list?titleId=654774&tab=mon
화,괴력 난신,매드버드 / 김태형 / 한중월야,9.95,https://image-comic.pstatic.net/webtoon/833416/thumbnail/titledescimage/objectImage_dcfa22f5-8383-4c68-8eff-5f7d7103ef3b.png,https://comic.naver.com/webtoon/list?titleId=821597&tab=tue
화,오! 나의 교주님,"김꿀빨, 김완두",8.85,https://image-comic.pstatic.net/webtoon/833416/thumbnail/titledescimage/backImage_7e43b329-4cce-4292-96d0-ada9ecc7600e.png,https://comic.naver.com/webtoon/list?titleId=841624&tab=tue
화,절대회귀,JP / 박진환 / 장영훈,9.96,https://image-comic.pstatic.net/webtoon/833416/thumbnail/titledescimage/frontImage_16009a45-2f42-4aff-95fe-072d41338e9a.png,https://comic.naver.com/webtoon/list?titleId=828715&tab=tue
